12039.447 0.0016299001		            -0.0095907344	0.0014710537	    0.014268074       -0.036788391   0.0065349317      0.0017680281	  0.0047103541  0.0014710537
12041.465 0.001897666		            -0.011346088	0.0017496028	    0.01575794        -0.039328987   0.0082257339      0.0019956266	  0.0050371501  0.0017496028
12043.483 0.0021945086		            -0.013210335	0.0021096013	    0.017649355       -0.041749083   0.010430819       0.0022232251	  0.0053639461  0.0021096013
12045.501 0.0025341457		            -0.015183275	0.0026275621	    0.020061796       -0.044336975   0.013115965       0.0024508236	  0.0056907421  0.0026275621
12047.519 0.0029208395		            -0.017243143	0.0033020747	    0.023069591       -0.047336502   0.016144052       0.0026784220	  0.0060294848  0.0033020747
12049.537 0.0033685049		            -0.01943417 	0.0041165997	    0.026776416       -0.050929331   0.019213588       0.0029060205	  0.0064289601  0.0041165997
12051.555 0.0038869776		            -0.021820412	0.0050590326	    0.031284468       -0.055301491   0.022162748       0.0031336190	  0.0069260063  0.0050590326
12053.573 0.004492022		            -0.024428305	0.0061300208	    0.036457148       -0.060584208   0.025068428       0.0033612173	  0.0075206242  0.0061300208
12055.591 0.0052122618		            -0.027304011	0.0073306943	    0.042014714       -0.066853648   0.028071297       0.0035888158	  0.0082128132  0.0073306943
12057.609 0.0060560497		            -0.030464658	0.0086615365	    0.047734005       -0.074115938   0.03109224        0.0038164144	  0.0090025736  0.0086615365
12059.627 0.0070078303		            -0.033975722	0.010139024	    0.053631666       -0.082374385   0.033913525       0.0040661000	  0.0098992073  0.010139024
12061.645 0.0080549246		            -0.037914922	0.011781919	    0.060044147       -0.091682199   0.03655556        0.0043753228	  0.0109242530  0.011781919
12063.663 0.009194136		            -0.04229784 	0.013524088	    0.066977468       -0.10181917    0.039097258       0.0047594446	  0.0120899480  0.013524088
12065.681 0.010476136		            -0.047183004	0.01533457	    0.073781646       -0.11240841    0.041486671       0.0052184660	  0.0133962920  0.01533457
12067.699 0.011949758		            -0.052599576	0.017255201	    0.079714402       -0.12331937    0.043815383       0.0057523862	  0.0148313370  0.017255201
12069.717 0.013560099		            -0.058500089	0.019296943	    0.084521738       -0.1343455     0.046539398       0.0063612061	  0.0163462990  0.019296943
12071.735 0.015213045		            -0.064902486	0.021460478	    0.088528628       -0.14520149    0.050216338       0.0070449253	  0.0179568380  0.021460478
12073.753 0.01684889		            -0.071822293	0.023739317	    0.092466616       -0.15577965    0.055063706       0.0078035434	  0.0197493650  0.023739317
12075.771 0.018527601		            -0.079223447	0.026249896	    0.097218972       -0.16597556    0.060796087       0.0086641242	  0.0217577910  0.026249896
12077.789 0.020349098		            -0.087098943	0.029139854	    0.10335366        -0.17575529    0.066928227       0.0096590082	  0.0239700180  0.029139854
12079.807 0.022343329		            -0.095388132	0.03241313	    0.1104639	      -0.18504462    0.072954963       0.0107713860	  0.0263592340  0.03241313
12081.825 0.02449547		            -0.10407428 	0.035947848	    0.11748677        -0.19349516    0.07835972        0.0119638080	  0.0288984920  0.035947848
12083.843 0.026772085		            -0.11319205 	0.039639752	    0.12415078        -0.20084031    0.083031172       0.0132209120	  0.0315755570  0.039639752
12085.861 0.029131296		            -0.12265224 	0.043473679	    0.1310979	      -0.20691269    0.087392194       0.0145426970	  0.0343904290  0.043473679
12087.879 0.031577332		            -0.13234132 	0.047494302	    0.13895032        -0.21142486    0.092012271       0.0159291650	  0.0372860350  0.047494302
12089.897 0.034185366		            -0.14218299 	0.051757957	    0.14761637        -0.21439802    0.096933436       0.0173782370	  0.0401931240  0.051757957
12091.915 0.037014644		            -0.15209947 	0.056282368	    0.15573303        -0.21616123    0.10149989        0.0188573220	  0.0430470200  0.056282368
12093.933 0.040073295		            -0.16205473 	0.061082271	    0.16132285        -0.21694994    0.10509578        0.0203359020	  0.0458873220  0.061082271
12095.951 0.043260855		            -0.17203997 	0.066042623	    0.16351984        -0.21678589    0.10772489        0.0217869130	  0.0488201180  0.066042623
12097.969 0.046386869		            -0.18201205 	0.071010215	    0.16323865        -0.21527105    0.10972992        0.0231780150	  0.0518714910  0.071010215
12099.987 0.049353707		            -0.19193219 	0.07595962	    0.16227134        -0.21194019    0.11143849        0.0245039290	  0.0550589560  0.07595962
12102.005 0.052232476		            -0.20169507 	0.080992025	    0.16202072        -0.20669452    0.11312865        0.0257646560	  0.0584198520  0.080992025
12104.023 0.055189393		            -0.2111098  	0.086194312	    0.16288137        -0.19940911    0.11478888        0.0269601960	  0.0619862260  0.086194312
12106.041 0.058298928		            -0.22010922 	0.091528041	    0.16438327        -0.19003203    0.11603716        0.0280817810	  0.0657496000  0.091528041
12108.059 0.061456381		            -0.22866329 	0.096889659	    0.16517691        -0.17894347    0.11625964        0.0290969830	  0.0696377120  0.096889659
12110.077 0.064551703		            -0.23666287 	0.10219886	    0.16371825        -0.16643123    0.11503023        0.0299842200	  0.0735990690  0.10219886
12112.095 0.067581088		            -0.24404919 	0.10743827	    0.16030238        -0.15257016    0.112445	       0.0307760850	  0.0776458490  0.10743827
12114.113 0.070534893		            -0.25075904 	0.11253461	    0.15651993        -0.13748697    0.10860994        0.0315030950	  0.0816652760  0.11253461
12116.131 0.073376504		            -0.25672948 	0.11741612	    0.15260697        -0.12127923    0.10331157        0.0321652510	  0.0856031240  0.11741612
12118.149 0.076167128		            -0.26196054 	0.12205619	    0.14737221        -0.10419915    0.096556267       0.0327625510	  0.0895179570  0.12205619
12120.167 0.078926402		            -0.26637109 	0.1263457	    0.13973958        -0.086399513   0.088633501       0.0332949980	  0.0933831090  0.1263457
12122.185 0.081564718		            -0.26991905 	0.13019916	    0.12927973        -0.067831108   0.079760042       0.0337493270	  0.0970437450  0.13019916
12124.203 0.083936859		            -0.2726401  	0.13361429	    0.11592862        -0.048919364   0.070183398       0.0340965130	  0.1003715900  0.13361429
12126.221 0.085941818		            -0.27444244 	0.13657977	    0.1000048	      -0.03018918    0.060112618       0.0343295470	  0.1033751100  0.13657977
12128.239 0.087625406		            -0.27533239 	0.13910697	    0.082750871       -0.011775484   0.049684408       0.0344808590	  0.1061836400  0.13910697
12130.257 0.089010751		            -0.27541749 	0.14116117	    0.065739125       0.0060335082   0.038972255       0.0345741070	  0.1089179300  0.14116117
12132.275 0.090063943		            -0.27470754 	0.1426774	    0.049297123       0.022976719    0.027836843       0.0346092920	  0.1115779800  0.1426774
12134.293 0.090814978		            -0.27324817 	0.14369493	    0.033273948       0.039264297    0.016471206       0.0345864140	  0.1141182200  0.14369493
12136.311 0.091279814		            -0.27106971 	0.14419426	    0.018166744       0.055403719    0.0054954529      0.0345054760	  0.1163609500  0.14419426
12138.329 0.091448171		            -0.268176		0.14413168	    0.00413088        0.071835757    -0.004869016      0.0343664740	  0.1180994300  0.14413168
12140.347 0.091371219		            -0.26458076 	0.14361519	    -0.0091663497     0.08816576     -0.014723623      0.0341694100	  0.1191677100  0.14361519
12142.365 0.091079391		            -0.26015505 	0.14271866	    -0.021900646      0.10342403     -0.024096999      0.0339042120	  0.1195843400  0.14271866
12144.383 0.090567213		            -0.25488124 	0.14144305	    -0.034127764      0.11704706     -0.033128053      0.0335646320	  0.1194778400  0.14144305
12146.401 0.089824288		            -0.24903377 	0.13976112	    -0.045801913      0.12835641     -0.041960403      0.0331544810	  0.1188668400  0.13976112
12148.419 0.08883404		            -0.24281675 	0.1376239	    -0.056845671      0.13657485     -0.050576778      0.0326737570	  0.1177513500  0.1376239
12150.437 0.087643574		            -0.23630187 	0.13508158	    -0.067092549      0.14199523     -0.058680003      0.0321224630	  0.1161262500  0.13508158
12152.455 0.086295897		            -0.22961312 	0.13220063	    -0.076341879      0.14548996     -0.065710351      0.0315005960	  0.1139810400  0.13220063
12154.473 0.084787349		            -0.22283613 	0.12899725	    -0.084890611      0.14733625     -0.071454827      0.0308081590	  0.1113426800  0.12899725
12156.491 0.083136655		            -0.21600787 	0.12556389	    -0.093231715      0.14743935     -0.076177043      0.0300451500	  0.1082804500  0.12556389
12158.509 0.081335408		            -0.20917013 	0.12198603	    -0.10144755       0.14597816     -0.080171572      0.0292273630	  0.1048860800  0.12198603
12160.527 0.079367364		            -0.20242988 	0.11827612	    -0.10949153       0.14351414     -0.083692883      0.0283745000	  0.1013322900  0.11827612
12162.545 0.077247272		            -0.19591925 	0.11441868	    -0.11681745       0.1404823      -0.086820005      0.0275137990	  0.0977541700  0.11441868
12164.563 0.074984422		            -0.18963375 	0.11037811	    -0.12230356       0.13697258     -0.089359319      0.0266805460	  0.0941729790  0.11037811
12166.581 0.07259325		            -0.18344317 	0.10618312	    -0.12536232       0.13345122     -0.091113198      0.0258866970	  0.0905928220  0.10618312
12168.599 0.070171134		            -0.17735713 	0.10194705	    -0.12590557       0.13048521     -0.091891054      0.0251322530	  0.0870137050  0.10194705
12170.617 0.0678045		            -0.17147356 	0.097742399	    -0.12388302       0.12790075     -0.091619749      0.0244172140	  0.0834448860  0.097742399
12172.635 0.065514603		            -0.16571996 	0.093583371	    -0.11958123       0.12544794     -0.090715511      0.0237415790	  0.0799034900  0.093583371
12174.653 0.063320612		            -0.16003664 	0.089491216	    -0.11354547       0.12338914     -0.089872392      0.0231053490	  0.0763973710  0.089491216
12176.671 0.061236431		            -0.15442824 	0.085471001	    -0.10612479       0.12159863     -0.089451541      0.0226204710	  0.0729491520  0.085471001
12178.689 0.059306715		            -0.14888405 	0.081470722	    -0.09751161       0.11921576     -0.089432233      0.0223908730	  0.0696013160  0.081470722
12180.707 0.057569289		            -0.1434021  	0.07741309	    -0.087879178      0.11551142     -0.089738339      0.0224046250	  0.0664611800  0.07741309
12182.725 0.056029146		            -0.1380674  	0.073298122	    -0.077958396      0.11047907     -0.090340998      0.0226578190	  0.0636257200  0.073298122
12184.743 0.05468596		            -0.13305717 	0.069170669	    -0.069035041      0.10441453     -0.091115424      0.0231504550	  0.0610817220  0.069170669
12186.761 0.053540936		            -0.12847326 	0.065046764	    -0.061757046      0.097453865    -0.091889119      0.0238825330	  0.0588064290  0.065046764
12188.779 0.052515603		            -0.12421074 	0.060876539	    -0.056048264      0.090012286    -0.092735605      0.0248542160	  0.0567998380  0.060876539
12190.797 0.05153198		            -0.12022629 	0.056637229	    -0.051611481      0.082607588    -0.093835593      0.0260733550	  0.0550578010  0.056637229
12192.815 0.050590465		            -0.11658392 	0.05235265	    -0.047775202      0.075121654    -0.095041704      0.0275476360	  0.0535736940  0.05235265
12194.833 0.04970948		            -0.11329157 	0.048010468	    -0.043657658      0.066950048    -0.096173002      0.0292770590	  0.0523450500  0.048010468
12196.851 0.048926717		            -0.11038308 	0.043601847	    -0.038801786      0.057580968    -0.097519785      0.0311496770	  0.0513718720  0.043601847
12198.869 0.048252		            -0.10787567 	0.039168712	    -0.033227538      0.046890213    -0.0993658        0.0330457700	  0.0506541530  0.039168712
12200.887 0.04768291		            -0.10588087 	0.034678658	    -0.027035551      0.034884213    -0.10158093       0.0349575610	  0.0501242210  0.034678658
12202.905 0.047229216		            -0.10454238 	0.030033324	    -0.020151817      0.021386287    -0.10401422       0.0368850550	  0.0496798140  0.030033324
12204.923 0.046896258		            -0.10384536 	0.025213719	    -0.01235776       0.0066304078   -0.10663715       0.0388282480	  0.0492863470  0.025213719
12206.941 0.046716106		            -0.10384348 	0.020276751	    -0.0033277158     -0.0087121799  -0.10920361       0.0407929020	  0.0489438200  0.020276751
12208.959 0.046717961		            -0.1046151  	0.015267145	    0.0071757735      -0.024415927   -0.11140753       0.0428323100	  0.0486522340  0.015267145
12210.977 0.046920647		            -0.10610338 	0.010162639	    0.018734937       -0.040617697   -0.11348058       0.0449863020	  0.0484115840  0.010162639
12212.995 0.047373209		            -0.10831277 	0.0049664847	    0.030557995       -0.057531443   -0.11609453       0.0472472010	  0.0482218760  0.0049664847
12215.013 0.048085834		            -0.11126433 	-0.00030296418      0.042103346       -0.075270295   -0.11940203       0.0496149980	  0.0480831070  -0.00030296418
12217.031 0.049008105		            -0.11503856 	-0.0057313324	    0.052890802       -0.093210494   -0.12294413       0.0520997740	  0.0479952750  -0.0057313324
12219.049 0.050104573		            -0.11978504 	-0.011436396	    0.06260334        -0.1103912     -0.12648897       0.0547711130	  0.0480109490  -0.011436396
12221.067 0.05135807		            -0.12542755 	-0.017347205	    0.071538818       -0.12632533    -0.13002045       0.0576885410	  0.0481736910  -0.017347205
12223.085 0.052764401		            -0.13170405 	-0.023345325	    0.08076551        -0.14130802    -0.13341747       0.0608520580	  0.0484687850  -0.023345325
12225.103 0.054328084		            -0.13846176 	-0.029422311	    0.09147004        -0.15647112    -0.13682322       0.0642829640	  0.0488905270  -0.029422311
12227.121 0.05605973		            -0.14573182 	-0.035646579	    0.1039411	      -0.1722084     -0.14087333       0.0681019890	  0.0494389150  -0.035646579
12229.139 0.058061387		            -0.15384845 	-0.042098124	    0.11798528        -0.18726644    -0.14615828       0.0723608640	  0.0501139450  -0.042098124
12231.157 0.060398899		            -0.16306951 	-0.048808802	    0.13362761        -0.19997368    -0.15256372       0.0770119000	  0.0510771130  -0.048808802
12233.175 0.063038692		            -0.1729793  	-0.055845994	    0.14991006        -0.20798621    -0.15922841       0.0820964570	  0.0525180450  -0.055845994
12235.193 0.065978711		            -0.18300424 	-0.063283541	    0.16489293        -0.20854261    -0.16530795       0.0878358200	  0.0544647490  -0.063283541
12237.211 0.069240801		            -0.19283023 	-0.071055623	    0.17809281        -0.20135824    -0.17060408       0.0943465200	  0.0569170510  -0.071055623
12239.229 0.07273773		            -0.20206258 	-0.078985408	    0.19128755        -0.18784516    -0.17602642       0.1012843200	  0.0597136600  -0.078985408
